Tide gauge at Antofagasta_CL
Time (UTC)	prs(m)
2010-02-27 00:00:00	4.0538
2010-02-27 00:02:00	4.0508
2010-02-27 00:04:00	4.0447
2010-02-27 00:06:00	4.0416
2010-02-27 00:08:00	4.0477
2010-02-27 00:10:00	4.0508
2010-02-27 00:12:00	4.0386
2010-02-27 00:14:00	4.0386
2010-02-27 00:16:00	4.0325
2010-02-27 00:18:00	4.0295
2010-02-27 00:20:00	4.0295
2010-02-27 00:22:00	4.0325
2010-02-27 00:24:00	4.0112
2010-02-27 02:26:00	3.685
2010-02-27 02:28:00	3.6576
2010-02-27 02:30:00	3.6698
2010-02-27 02:32:00	3.6546
2010-02-27 02:34:00	3.6363
2010-02-27 02:36:00	3.6393
2010-02-27 02:38:00	3.6424
2010-02-27 02:40:00	3.621
2010-02-27 02:42:00	3.6119
2010-02-27 02:44:00	3.6058
2010-02-27 02:46:00	3.6119
2010-02-27 02:48:00	3.6027
2010-02-27 02:50:00	3.5844
2010-02-27 02:52:00	3.5784
2010-02-27 02:54:00	3.5631
2010-02-27 02:56:00	3.554
2010-02-27 02:58:00	3.5448
2010-02-27 03:00:00	3.5418
2010-02-27 03:02:00	3.5265
2010-02-27 03:04:00	3.5265
2010-02-27 03:06:00	3.5113
2010-02-27 03:08:00	3.493
2010-02-27 03:10:00	3.4717
2010-02-27 03:12:00	3.4625
2010-02-27 03:14:00	3.4686
2010-02-27 03:16:00	3.4534
2010-02-27 03:18:00	3.4442
2010-02-27 03:20:00	3.4381
2010-02-27 03:22:00	3.4412
2010-02-27 03:24:00	3.4199
2010-02-27 03:26:00	3.4168
2010-02-27 03:28:00	3.4168
2010-02-27 03:30:00	3.4168
2010-02-27 03:32:00	3.3924
2010-02-27 03:34:00	3.3924
2010-02-27 03:36:00	3.365
2010-02-27 03:38:00	3.3528
2010-02-27 03:40:00	3.3528
2010-02-27 03:42:00	3.3406
2010-02-27 03:44:00	3.3284
2010-02-27 03:46:00	3.3254
2010-02-27 03:48:00	3.3162
2010-02-27 03:50:00	3.2918
2010-02-27 03:52:00	3.2766
2010-02-27 03:54:00	3.2736
2010-02-27 03:56:00	3.2644
2010-02-27 03:58:00	3.2553
2010-02-27 04:00:00	3.2522
2010-02-27 04:02:00	3.2461
2010-02-27 04:04:00	3.2248
2010-02-27 04:06:00	3.2187
2010-02-27 04:08:00	3.2126
2010-02-27 04:10:00	3.2126
2010-02-27 04:12:00	3.2187
2010-02-27 04:14:00	3.2095
2010-02-27 04:16:00	3.1943
2010-02-27 04:18:00	3.1821
2010-02-27 04:20:00	3.1638
2010-02-27 04:22:00	3.1638
2010-02-27 04:24:00	3.1486
2010-02-27 04:26:00	3.1364
2010-02-27 04:28:00	3.1212
2010-02-27 04:30:00	3.1303
2010-02-27 04:32:00	3.1181
2010-02-27 04:34:00	3.0968
2010-02-27 04:36:00	3.0937
2010-02-27 04:38:00	3.0907
2010-02-27 04:40:00	3.0815
2010-02-27 04:42:00	3.0663
2010-02-27 04:44:00	3.0571
2010-02-27 04:46:00	3.048
2010-02-27 04:48:00	3.045
2010-02-27 04:50:00	3.0389
2010-02-27 04:52:00	3.0328
2010-02-27 04:54:00	3.0328
2010-02-27 04:56:00	3.0358
2010-02-27 04:58:00	3.0328
2010-02-27 05:00:00	3.0145
2010-02-27 05:02:00	3.0053
2010-02-27 05:04:00	3.0053
2010-02-27 05:06:00	2.9962
2010-02-27 05:08:00	2.9779
2010-02-27 05:10:00	2.984
2010-02-27 05:12:00	2.9718
2010-02-27 05:14:00	2.9566
2010-02-27 05:16:00	2.9505
2010-02-27 05:18:00	2.9505
2010-02-27 05:20:00	2.9291
2010-02-27 05:22:00	2.9444
2010-02-27 05:24:00	2.9322
2010-02-27 05:26:00	2.9291
2010-02-27 05:28:00	2.9169
2010-02-27 05:30:00	2.9078
2010-02-27 05:32:00	2.8956
2010-02-27 05:34:00	2.9017
2010-02-27 05:36:00	2.9017
2010-02-27 05:38:00	2.8926
2010-02-27 05:40:00	2.8926
2010-02-27 05:42:00	2.8986
2010-02-27 05:44:00	2.8956
2010-02-27 05:46:00	2.8895
2010-02-27 05:48:00	2.8895
2010-02-27 05:50:00	2.8682
2010-02-27 05:52:00	2.8621
2010-02-27 05:54:00	2.8651
2010-02-27 05:56:00	2.859
2010-02-27 05:58:00	2.8407
2010-02-27 06:00:00	2.8346
2010-02-27 06:02:00	2.8255
2010-02-27 06:04:00	2.8255
2010-02-27 06:06:00	2.8377
2010-02-27 06:08:00	2.8346
2010-02-27 06:10:00	2.8316
2010-02-27 06:12:00	2.8285
2010-02-27 06:14:00	2.8194
2010-02-27 06:16:00	2.8133
2010-02-27 06:18:00	2.8285
