Tide gauge at Honiara
Time (UTC)	aqu(m)
2013-02-06 00:00:00	0.928
2013-02-06 00:01:00	0.931
2013-02-06 00:02:00	0.931
2013-02-06 00:03:00	0.931
2013-02-06 00:04:00	0.93
2013-02-06 00:05:00	0.928
2013-02-06 00:06:00	0.931
2013-02-06 00:07:00	0.931
2013-02-06 00:08:00	0.934
2013-02-06 00:09:00	0.928
2013-02-06 00:10:00	0.934
2013-02-06 00:11:00	0.933
2013-02-06 00:12:00	0.936
2013-02-06 00:13:00	0.931
2013-02-06 00:14:00	0.927
2013-02-06 00:15:00	0.935
2013-02-06 00:16:00	0.931
2013-02-06 00:17:00	0.933
2013-02-06 00:18:00	0.93
2013-02-06 00:19:00	0.927
2013-02-06 00:20:00	0.929
2013-02-06 00:21:00	0.938
2013-02-06 00:22:00	0.93
2013-02-06 00:23:00	0.929
2013-02-06 00:24:00	0.932
2013-02-06 00:25:00	0.931
2013-02-06 00:26:00	0.926
2013-02-06 00:27:00	0.931
2013-02-06 00:28:00	0.93
2013-02-06 00:29:00	0.929
2013-02-06 00:30:00	0.93
2013-02-06 00:31:00	0.931
2013-02-06 00:32:00	0.927
2013-02-06 00:33:00	0.93
2013-02-06 00:34:00	0.923
2013-02-06 00:35:00	0.927
2013-02-06 00:36:00	0.93
2013-02-06 00:37:00	0.923
2013-02-06 00:38:00	0.923
2013-02-06 00:39:00	0.924
2013-02-06 00:40:00	0.916
2013-02-06 00:41:00	0.919
2013-02-06 00:42:00	0.92
2013-02-06 00:43:00	0.92
2013-02-06 00:44:00	0.92
2013-02-06 00:45:00	0.923
2013-02-06 00:46:00	0.92
2013-02-06 00:47:00	0.919
2013-02-06 00:48:00	0.919
2013-02-06 00:49:00	0.917
2013-02-06 00:50:00	0.917
2013-02-06 00:51:00	0.916
2013-02-06 00:52:00	0.909
2013-02-06 00:53:00	0.916
2013-02-06 00:54:00	0.915
2013-02-06 00:55:00	0.913
2013-02-06 00:56:00	0.91
2013-02-06 00:57:00	0.914
2013-02-06 00:58:00	0.914
2013-02-06 00:59:00	0.914
2013-02-06 01:00:00	0.912
2013-02-06 01:01:00	0.92
2013-02-06 01:02:00	0.907
2013-02-06 01:03:00	0.915
2013-02-06 01:04:00	0.916
2013-02-06 01:05:00	0.91
2013-02-06 01:06:00	0.914
2013-02-06 01:07:00	0.912
2013-02-06 01:08:00	0.915
2013-02-06 01:09:00	0.909
2013-02-06 01:10:00	0.916
2013-02-06 01:11:00	0.917
2013-02-06 01:12:00	0.915
2013-02-06 01:13:00	0.912
2013-02-06 01:14:00	0.919
2013-02-06 01:15:00	0.919
2013-02-06 01:16:00	0.914
2013-02-06 01:17:00	0.915
2013-02-06 01:18:00	0.92
2013-02-06 01:19:00	0.921
2013-02-06 01:20:00	0.919
2013-02-06 01:21:00	0.918
2013-02-06 01:22:00	0.913
2013-02-06 01:23:00	0.915
2013-02-06 01:24:00	0.92
2013-02-06 01:25:00	0.913
2013-02-06 01:26:00	0.916
2013-02-06 01:27:00	0.921
2013-02-06 01:28:00	0.92
2013-02-06 01:29:00	0.922
2013-02-06 01:30:00	0.917
2013-02-06 01:31:00	0.916
2013-02-06 01:32:00	0.917
2013-02-06 01:33:00	0.924
2013-02-06 01:34:00	0.916
2013-02-06 01:35:00	0.915
2013-02-06 01:36:00	0.917
2013-02-06 01:37:00	0.92
2013-02-06 01:38:00	0.906
2013-02-06 01:39:00	0.919
2013-02-06 01:40:00	0.919
2013-02-06 01:41:00	0.905
2013-02-06 01:42:00	0.911
2013-02-06 01:43:00	0.917
2013-02-06 01:44:00	0.913
2013-02-06 01:45:00	0.913
2013-02-06 01:46:00	0.911
2013-02-06 01:47:00	0.907
2013-02-06 01:48:00	0.911
2013-02-06 01:49:00	0.917
2013-02-06 01:50:00	0.9
2013-02-06 01:51:00	0.907
2013-02-06 01:52:00	0.915
2013-02-06 01:53:00	0.898
2013-02-06 01:54:00	0.908
2013-02-06 01:55:00	0.909
2013-02-06 01:56:00	0.895
2013-02-06 01:57:00	0.903
2013-02-06 01:58:00	0.902
2013-02-06 01:59:00	0.905
2013-02-06 02:00:00	0.9
2013-02-06 02:01:00	0.9
2013-02-06 02:02:00	0.892
2013-02-06 02:03:00	0.901
2013-02-06 02:04:00	0.905
2013-02-06 02:05:00	0.903
2013-02-06 02:06:00	0.897
2013-02-06 02:07:00	0.902
2013-02-06 02:08:00	0.897
2013-02-06 02:09:00	0.894
2013-02-06 02:10:00	0.894
2013-02-06 02:11:00	0.895
2013-02-06 02:12:00	0.896
2013-02-06 02:13:00	0.89
2013-02-06 02:14:00	0.891
2013-02-06 02:15:00	0.894
2013-02-06 02:16:00	0.894
2013-02-06 02:17:00	0.895
2013-02-06 02:18:00	0.887
2013-02-06 02:19:00	0.893
2013-02-06 02:20:00	0.895
2013-02-06 02:21:00	0.888
2013-02-06 02:22:00	0.894
2013-02-06 02:23:00	0.891
2013-02-06 02:24:00	0.891
2013-02-06 02:25:00	0.892
2013-02-06 02:26:00	0.896
2013-02-06 02:27:00	0.888
2013-02-06 02:28:00	0.896
2013-02-06 02:29:00	0.895
2013-02-06 02:30:00	0.906
2013-02-06 02:31:00	0.902
2013-02-06 02:32:00	0.911
2013-02-06 02:33:00	0.909
2013-02-06 02:34:00	0.914
2013-02-06 02:35:00	0.914
2013-02-06 02:36:00	0.91
2013-02-06 02:37:00	0.92
2013-02-06 02:38:00	0.917
2013-02-06 02:39:00	0.917
2013-02-06 02:40:00	0.921
2013-02-06 02:41:00	0.913
2013-02-06 02:42:00	0.915
2013-02-06 02:43:00	0.909
2013-02-06 02:44:00	0.904
2013-02-06 02:45:00	0.899
2013-02-06 02:46:00	0.892
2013-02-06 02:47:00	0.89
2013-02-06 02:48:00	0.883
2013-02-06 02:49:00	0.875
2013-02-06 02:50:00	0.87
2013-02-06 02:51:00	0.858
2013-02-06 02:52:00	0.852
2013-02-06 02:53:00	0.841
2013-02-06 02:54:00	0.844
2013-02-06 02:55:00	0.84
2013-02-06 02:56:00	0.835
2013-02-06 02:57:00	0.849
2013-02-06 02:58:00	0.853
2013-02-06 02:59:00	0.861
2013-02-06 03:00:00	0.871
2013-02-06 03:01:00	0.879
2013-02-06 03:02:00	0.884
2013-02-06 03:03:00	0.899
2013-02-06 03:04:00	0.921
2013-02-06 03:05:00	0.935
2013-02-06 03:06:00	0.931
2013-02-06 03:07:00	0.932
2013-02-06 03:08:00	0.911
2013-02-06 03:09:00	0.888
2013-02-06 03:10:00	0.875
2013-02-06 03:11:00	0.856
2013-02-06 03:12:00	0.84
2013-02-06 03:13:00	0.84
2013-02-06 03:14:00	0.834
2013-02-06 03:15:00	0.826
2013-02-06 03:16:00	0.794
2013-02-06 03:17:00	0.779
2013-02-06 03:18:00	0.806
2013-02-06 03:19:00	0.845
2013-02-06 03:20:00	0.874
2013-02-06 03:21:00	0.882
2013-02-06 03:22:00	0.885
2013-02-06 03:23:00	0.871
2013-02-06 03:24:00	0.866
2013-02-06 03:25:00	0.875
2013-02-06 03:26:00	0.876
2013-02-06 03:27:00	0.886
2013-02-06 03:28:00	0.893
2013-02-06 03:29:00	0.883
2013-02-06 03:30:00	0.868
2013-02-06 03:31:00	0.833
2013-02-06 03:32:00	0.788
2013-02-06 03:33:00	0.774
2013-02-06 03:34:00	0.78
2013-02-06 03:35:00	0.776
2013-02-06 03:36:00	0.786
2013-02-06 03:37:00	0.827
2013-02-06 03:38:00	0.841
2013-02-06 03:39:00	0.851
2013-02-06 03:40:00	0.889
2013-02-06 03:41:00	0.922
2013-02-06 03:42:00	0.924
2013-02-06 03:43:00	0.942
2013-02-06 03:44:00	0.954
2013-02-06 03:45:00	0.927
2013-02-06 03:46:00	0.92
2013-02-06 03:47:00	0.891
2013-02-06 03:48:00	0.854
2013-02-06 03:49:00	0.854
2013-02-06 03:50:00	0.851
2013-02-06 03:51:00	0.822
2013-02-06 03:52:00	0.809
2013-02-06 03:53:00	0.836
2013-02-06 03:54:00	0.837
2013-02-06 03:55:00	0.868
2013-02-06 03:56:00	0.905
2013-02-06 03:57:00	0.887
2013-02-06 03:58:00	0.864
2013-02-06 03:59:00	0.845
2013-02-06 04:00:00	0.815
2013-02-06 04:01:00	0.792
2013-02-06 04:02:00	0.808
2013-02-06 04:03:00	0.866
2013-02-06 04:04:00	0.898
2013-02-06 04:05:00	0.891
2013-02-06 04:06:00	0.879
2013-02-06 04:07:00	0.863
2013-02-06 04:08:00	0.835
2013-02-06 04:09:00	0.821
2013-02-06 04:10:00	0.841
2013-02-06 04:11:00	0.85
2013-02-06 04:12:00	0.849
2013-02-06 04:13:00	0.868
