Tide gauge at Lata_Wharf_SB
Time (UTC)	rad(m)
2013-02-06 00:00:00	0.762
2013-02-06 00:01:00	0.771
2013-02-06 00:02:00	0.774
2013-02-06 00:03:00	0.769
2013-02-06 00:04:00	1.249
2013-02-06 00:05:00	1.146
2013-02-06 00:06:00	0.794
2013-02-06 00:07:00	0.794
2013-02-06 00:08:00	0.811
2013-02-06 00:09:00	0.79
2013-02-06 00:10:00	0.827
2013-02-06 00:11:00	0.799
2013-02-06 00:12:00	0.794
2013-02-06 00:13:00	0.797
2013-02-06 00:14:00	0.797
2013-02-06 00:15:00	0.799
2013-02-06 00:16:00	0.804
2013-02-06 00:17:00	0.801
2013-02-06 00:18:00	0.811
2013-02-06 00:19:00	1.08
2013-02-06 00:20:00	0.824
2013-02-06 00:21:00	1.109
2013-02-06 00:22:00	0.823
2013-02-06 00:23:00	0.817
2013-02-06 00:24:00	0.839
2013-02-06 00:25:00	0.828
2013-02-06 00:26:00	0.836
2013-02-06 00:27:00	0.829
2013-02-06 00:28:00	0.84
2013-02-06 00:29:00	0.839
2013-02-06 00:30:00	0.84
2013-02-06 00:31:00	0.851
2013-02-06 00:32:00	0.844
2013-02-06 00:33:00	0.851
2013-02-06 00:34:00	0.86
2013-02-06 00:35:00	0.851
2013-02-06 00:36:00	0.855
2013-02-06 00:37:00	0.865
2013-02-06 00:38:00	0.857
2013-02-06 00:39:00	0.872
2013-02-06 00:40:00	0.878
2013-02-06 00:41:00	0.868
2013-02-06 00:42:00	0.868
2013-02-06 00:43:00	0.885
2013-02-06 00:44:00	0.879
2013-02-06 00:45:00	0.886
2013-02-06 00:46:00	0.894
2013-02-06 00:47:00	0.882
2013-02-06 00:48:00	0.885
2013-02-06 00:49:00	0.887
2013-02-06 00:50:00	0.888
2013-02-06 00:51:00	1.062
2013-02-06 00:52:00	0.901
2013-02-06 00:53:00	0.898
2013-02-06 00:54:00	0.89
2013-02-06 00:55:00	0.895
2013-02-06 00:56:00	0.902
2013-02-06 00:57:00	0.912
2013-02-06 00:58:00	0.903
2013-02-06 00:59:00	0.902
2013-02-06 01:00:00	0.912
2013-02-06 01:01:00	0.911
2013-02-06 01:02:00	0.925
2013-02-06 01:03:00	0.918
2013-02-06 01:04:00	0.911
2013-02-06 01:05:00	0.918
2013-02-06 01:06:00	0.919
2013-02-06 01:07:00	0.919
2013-02-06 01:08:00	0.913
2013-02-06 01:09:00	0.921
2013-02-06 01:10:00	0.918
2013-02-06 01:11:00	0.926
2013-02-06 01:12:00	0.922
2013-02-06 01:13:00	0.917
2013-02-06 01:14:00	1.122
2013-02-06 01:15:00	0.95
2013-02-06 01:16:00	0.892
2013-02-06 01:17:00	0.946
2013-02-06 01:18:00	0.967
2013-02-06 01:19:00	0.967
2013-02-06 01:20:00	1.019
2013-02-06 01:21:00	1.036
2013-02-06 01:22:00	0.997
2013-02-06 01:23:00	1.012
2013-02-06 01:24:00	1.06
2013-02-06 01:25:00	0.996
2013-02-06 01:26:00	0.99
2013-02-06 01:27:00	1.259
2013-02-06 01:28:00	1.689
2013-02-06 01:29:00	2.024
2013-02-06 01:30:00	2.031
2013-02-06 01:31:00	1.416
2013-02-06 01:32:00	1.196
2013-02-06 01:33:00	1.093
2013-02-06 01:34:00	0.773
2013-02-06 01:35:00	0.638
2013-02-06 01:38:00	0.23
2013-02-06 01:39:00	0.413
2013-02-06 01:40:00	0.616
2013-02-06 01:41:00	0.987
2013-02-06 01:42:00	1.167
2013-02-06 01:43:00	1.173
2013-02-06 01:44:00	1.387
2013-02-06 01:45:00	1.65
2013-02-06 01:46:00	1.912
2013-02-06 01:47:00	1.796
2013-02-06 01:48:00	1.426
2013-02-06 01:49:00	1.29
2013-02-06 01:50:00	1.447
2013-02-06 01:51:00	1.269
2013-02-06 01:52:00	0.606
2013-02-06 01:53:00	0.241
2013-02-06 01:54:00	0.203
2013-02-06 01:55:00	0.531
2013-02-06 01:56:00	0.682
2013-02-06 01:57:00	0.535
2013-02-06 01:58:00	0.461
2013-02-06 01:59:00	0.629
2013-02-06 02:00:00	0.855
2013-02-06 02:01:00	1.152
2013-02-06 02:02:00	1.308
2013-02-06 02:03:00	1.33
2013-02-06 02:04:00	1.49
2013-02-06 02:05:00	1.528
2013-02-06 02:06:00	1.582
2013-02-06 02:07:00	1.721
2013-02-06 02:08:00	1.71
2013-02-06 02:09:00	1.601
2013-02-06 02:10:00	1.47
2013-02-06 02:11:00	1.158
2013-02-06 02:12:00	1.003
2013-02-06 02:13:00	0.893
2013-02-06 02:14:00	0.744
2013-02-06 02:15:00	0.629
2013-02-06 02:16:00	0.395
2013-02-06 02:17:00	0.129
2013-02-06 02:18:00	0.175
2013-02-06 02:19:00	0.376
2013-02-06 02:20:00	0.569
2013-02-06 02:21:00	0.645
2013-02-06 02:22:00	0.661
2013-02-06 02:23:00	1.004
2013-02-06 02:24:00	1.364
2013-02-06 02:25:00	1.551
2013-02-06 02:26:00	1.723
2013-02-06 02:27:00	1.801
2013-02-06 02:28:00	1.809
2013-02-06 02:29:00	1.752
2013-02-06 02:30:00	1.629
2013-02-06 02:31:00	1.437
2013-02-06 02:32:00	1.175
2013-02-06 02:33:00	0.904
2013-02-06 02:34:00	0.767
2013-02-06 02:35:00	0.608
2013-02-06 02:36:00	0.488
2013-02-06 02:37:00	0.377
2013-02-06 02:38:00	0.371
2013-02-06 02:39:00	0.551
2013-02-06 02:40:00	0.682
2013-02-06 02:41:00	0.732
2013-02-06 02:42:00	0.847
2013-02-06 02:43:00	1.014
2013-02-06 02:44:00	1.158
2013-02-06 02:45:00	1.261
2013-02-06 02:46:00	1.424
2013-02-06 02:47:00	1.543
2013-02-06 02:48:00	1.563
2013-02-06 02:49:00	1.517
2013-02-06 02:50:00	1.439
2013-02-06 02:51:00	1.292
2013-02-06 02:52:00	1.164
2013-02-06 02:53:00	1.018
2013-02-06 02:54:00	0.882
2013-02-06 02:55:00	0.767
2013-02-06 02:56:00	0.652
2013-02-06 02:57:00	0.536
2013-02-06 02:58:00	0.493
2013-02-06 02:59:00	0.588
2013-02-06 03:00:00	0.694
2013-02-06 03:01:00	0.728
2013-02-06 03:02:00	0.755
2013-02-06 03:03:00	0.838
2013-02-06 03:04:00	0.977
2013-02-06 03:05:00	1.177
2013-02-06 03:06:00	1.337
2013-02-06 03:07:00	1.409
2013-02-06 03:08:00	1.442
2013-02-06 03:09:00	1.435
2013-02-06 03:10:00	1.372
2013-02-06 03:11:00	1.304
2013-02-06 03:12:00	1.206
2013-02-06 03:13:00	1.09
2013-02-06 03:14:00	0.966
2013-02-06 03:15:00	0.774
2013-02-06 03:16:00	0.651
2013-02-06 03:17:00	0.65
2013-02-06 03:18:00	0.684
2013-02-06 03:19:00	0.652
2013-02-06 03:20:00	0.549
2013-02-06 03:21:00	0.556
2013-02-06 03:22:00	0.681
2013-02-06 03:23:00	0.805
2013-02-06 03:24:00	0.889
2013-02-06 03:25:00	0.984
2013-02-06 03:26:00	1.142
2013-02-06 03:27:00	1.282
2013-02-06 03:28:00	1.37
2013-02-06 03:29:00	1.41
2013-02-06 03:30:00	1.421
2013-02-06 03:31:00	1.361
2013-02-06 03:32:00	1.253
2013-02-06 03:33:00	1.129
2013-02-06 03:34:00	1.026
2013-02-06 03:35:00	0.864
2013-02-06 03:36:00	0.669
2013-02-06 03:37:00	0.578
2013-02-06 03:38:00	0.5
2013-02-06 03:39:00	0.433
2013-02-06 03:40:00	0.406
2013-02-06 03:41:00	0.448
2013-02-06 03:42:00	0.597
2013-02-06 03:43:00	0.776
2013-02-06 03:44:00	0.923
2013-02-06 03:45:00	1.039
2013-02-06 03:46:00	1.167
2013-02-06 03:47:00	1.322
2013-02-06 03:48:00	1.425
2013-02-06 03:49:00	1.433
2013-02-06 03:50:00	1.326
2013-02-06 03:51:00	1.161
2013-02-06 03:52:00	1.098
2013-02-06 03:53:00	1.084
2013-02-06 03:54:00	0.97
2013-02-06 03:55:00	0.754
2013-02-06 03:56:00	0.563
2013-02-06 03:57:00	0.478
2013-02-06 03:58:00	0.519
2013-02-06 03:59:00	0.539
2013-02-06 04:00:00	0.533
2013-02-06 04:01:00	0.557
2013-02-06 04:02:00	0.626
2013-02-06 04:03:00	0.742
2013-02-06 04:04:00	0.859
2013-02-06 04:05:00	1.017
2013-02-06 04:06:00	1.122
2013-02-06 04:07:00	1.117
2013-02-06 04:08:00	1.116
2013-02-06 04:09:00	1.134
2013-02-06 04:10:00	1.159
2013-02-06 04:11:00	1.117
2013-02-06 04:12:00	1.007
2013-02-06 04:13:00	0.927
2013-02-06 04:14:00	0.868
2013-02-06 04:15:00	0.781
2013-02-06 04:16:00	0.727
2013-02-06 04:17:00	0.677
2013-02-06 04:18:00	0.627
2013-02-06 04:19:00	0.581
2013-02-06 04:20:00	0.505
2013-02-06 04:21:00	0.502
2013-02-06 04:22:00	0.554
2013-02-06 04:23:00	0.632
2013-02-06 04:24:00	0.717
2013-02-06 04:25:00	0.808
2013-02-06 04:26:00	0.912
2013-02-06 04:27:00	1.034
2013-02-06 04:28:00	1.155
2013-02-06 04:29:00	1.197
2013-02-06 04:30:00	1.153
2013-02-06 04:31:00	1.079
2013-02-06 04:32:00	0.968
2013-02-06 04:33:00	0.894
2013-02-06 04:34:00	0.833
2013-02-06 04:35:00	0.745
2013-02-06 04:36:00	0.631
2013-02-06 04:37:00	0.557
2013-02-06 04:38:00	0.526
2013-02-06 04:39:00	0.546
2013-02-06 04:40:00	0.585
2013-02-06 04:41:00	0.59
2013-02-06 04:42:00	0.596
2013-02-06 04:43:00	0.642
2013-02-06 04:44:00	0.723
2013-02-06 04:45:00	0.824
2013-02-06 04:46:00	0.891
2013-02-06 04:47:00	0.911
2013-02-06 04:48:00	0.924
2013-02-06 04:49:00	0.916
2013-02-06 04:50:00	0.903
2013-02-06 04:51:00	0.908
2013-02-06 04:52:00	0.873
2013-02-06 04:53:00	0.814
2013-02-06 04:54:00	0.757
2013-02-06 04:55:00	0.683
2013-02-06 04:56:00	0.639
2013-02-06 04:57:00	0.614
2013-02-06 04:58:00	0.583
2013-02-06 04:59:00	0.574
2013-02-06 05:00:00	0.562
2013-02-06 05:01:00	0.559
2013-02-06 05:02:00	0.58
2013-02-06 05:03:00	0.611
2013-02-06 05:04:00	0.659
2013-02-06 05:05:00	0.699
2013-02-06 05:06:00	0.686
2013-02-06 05:07:00	0.68
2013-02-06 05:08:00	0.719
2013-02-06 05:09:00	0.765
